17:42:27.940343 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.941703 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.941819 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.942006 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942011 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942012 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942013 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942018 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942020 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942022 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942023 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942032 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942033 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942035 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942036 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.942172 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.943362 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 46
17:42:27.946956 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.946974 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.946975 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.946977 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.946978 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.946980 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.946999 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.947000 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.947002 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.947003 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.947004 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.947005 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.947006 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.947208 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 50
17:42:27.948445 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 46
17:42:27.948706 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.948719 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.948720 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.948722 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.948723 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.948724 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.948726 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.948727 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.948733 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.948734 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.948934 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.949036 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.949051 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.949056 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.950230 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 46
17:42:27.950353 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.950364 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.950365 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.950367 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.950368 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.950369 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.950371 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.950372 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.950378 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 58
17:42:27.951697 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 46
17:42:27.963879 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.963898 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
